Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19127.64,229531.68,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Asia Pacific (Hong Kong),,Amazon Route 53,0,548,6576.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (6)"
My Estimate,Asia Pacific (Hong Kong),,Network Address Translation (NAT) Gateway,0,95.04,1140.48,USD,,Number of NAT Gateways (2)
My Estimate,Asia Pacific (Tokyo),,Amazon CloudFront,0,300,3600.00,USD,,Number of requests (HTTPS) (300000000 per month)
My Estimate,Asia Pacific (Tokyo),S3,S3 Standard,0,512,6144.00,USD,,S3 Standard storage (20 TB per month)
My Estimate,Asia Pacific (Tokyo),S3,Data Transfer,0,0,0.00,USD,,
My Estimate,Asia Pacific (Hong Kong),Web Server,Amazon EC2 ,0,979.44,11753.28,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 5), Advance EC2 instance (m6i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Asia Pacific (Hong Kong),App Server,Amazon EC2 ,0,979.44,11753.28,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 5), Advance EC2 instance (m6i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Asia Pacific (Hong Kong),Application Load Balancer,Application Load Balancer,0,3915.06,46980.72,USD,,Number of Application Load Balancers (3)
My Estimate,Asia Pacific (Hong Kong),Network Load Balancer,Network Load Balancer,0,2951.46,35417.52,USD,,"Number of Network Load Balancers (3), Average number of new TCP connections ( per second), Processed bytes per NLB for TCP (200 GB per hour)"
My Estimate,Asia Pacific (Hong Kong),Master DB Instances,Amazon RDS for PostgreSQL,0,4635.3,55623.60,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (5), Instance Type (db.m6i.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (OnDemand), Additional backup storage (30 GB)"
My Estimate,Asia Pacific (Hong Kong),Replica DB Instances,Amazon RDS for PostgreSQL,0,4211.9,50542.80,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (5), Instance Type (db.m6g.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (OnDemand), Additional backup storage (30 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
